"ResourceType","OperationName","Severity","AlertOnSuccess","AlertOnFailure","FriendlyName","Description","Category"
"microsoft.desktopvirtualization/workspaces","microsoft.desktopvirtualization/workspaces/delete","1","Yes","Yes","workspaces","Resource deleted","Administrative"
"microsoft.desktopvirtualization/workspaces","microsoft.desktopvirtualization/workspaces/write","2","No","Yes","workspaces","Resource created or updated","Administrative"
"microsoft.eventgrid/topics","microsoft.eventgrid/topics/delete","1","Yes","Yes","topics","Resource deleted","Administrative"
"microsoft.eventgrid/topics","microsoft.eventgrid/topics/write","2","No","Yes","topics","Resource created or updated","Administrative"
"microsoft.eventhub/namespaces","Microsoft.EventHub/namespaces/delete","0","Yes","Yes","eventhub","Event Hub namespace deleted","Administrative"
"microsoft.eventhub/namespaces","Microsoft.EventHub/namespaces/eventhubs/delete","1","Yes","Yes","eventhub","Event Hub deleted","Administrative"
"microsoft.eventhub/namespaces","Microsoft.EventHub/namespaces/eventhubs/write","1","Yes","Yes","eventhub","Event Hub created or updated","Administrative"
"microsoft.eventhub/namespaces","Microsoft.EventHub/namespaces/write","1","Yes","Yes","eventhub","Event Hub namespace created or updated","Administrative"
"microsoft.insights/autoscalesettings","microsoft.insights/autoscalesettings/delete","1","Yes","Yes","autoscalesettings","Resource deleted","Administrative"
"microsoft.insights/autoscalesettings","microsoft.insights/autoscalesettings/write","2","No","Yes","autoscalesettings","Resource created or updated","Administrative"
"microsoft.insights/components","Microsoft.Insights/components/delete","0","Yes","Yes","appinsights","Application Insights deleted","Administrative"
"microsoft.insights/components","Microsoft.Insights/components/write","1","Yes","Yes","appinsights","Application Insights created or updated","Administrative"
"microsoft.insights/datacollectionendpoints","microsoft.insights/datacollectionendpoints/delete","1","Yes","Yes","datacollectionendpoints","Resource deleted","Administrative"
"microsoft.insights/datacollectionendpoints","microsoft.insights/datacollectionendpoints/write","2","No","Yes","datacollectionendpoints","Resource created or updated","Administrative"
"microsoft.insights/webtests","microsoft.insights/webtests/delete","1","Yes","Yes","webtests","Resource deleted","Administrative"
"microsoft.insights/webtests","microsoft.insights/webtests/write","2","No","Yes","webtests","Resource created or updated","Administrative"
"microsoft.keyvault/vaults","Microsoft.KeyVault/vaults/accessPolicies/write","1","Yes","Yes","kv","Key Vault access policy updated","Administrative"
"microsoft.keyvault/vaults","Microsoft.KeyVault/vaults/delete","0","Yes","Yes","kv","Key Vault deleted","Administrative"
"microsoft.keyvault/vaults","Microsoft.KeyVault/vaults/secrets/delete","1","Yes","Yes","kv","Key Vault secret deleted","Administrative"
"microsoft.keyvault/vaults","Microsoft.KeyVault/vaults/secrets/write","1","Yes","Yes","kv","Key Vault secret created or updated","Administrative"
"microsoft.keyvault/vaults","Microsoft.KeyVault/vaults/write","1","Yes","Yes","kv","Key Vault created or updated","Administrative"
"microsoft.logic/workflows","Microsoft.Logic/workflows/delete","0","Yes","Yes","logicapp","Logic App deleted","Administrative"
"microsoft.logic/workflows","Microsoft.Logic/workflows/disable/action","2","Yes","Yes","logicapp","Logic App disabled","Administrative"
"microsoft.logic/workflows","Microsoft.Logic/workflows/enable/action","2","Yes","Yes","logicapp","Logic App enabled","Administrative"
"microsoft.logic/workflows","Microsoft.Logic/workflows/write","1","Yes","Yes","logicapp","Logic App created or updated","Administrative"
"microsoft.network/applicationgateways","Microsoft.Network/applicationGateways/delete","0","Yes","Yes","appgw","Application Gateway deleted","Administrative"
"microsoft.network/applicationgateways","Microsoft.Network/applicationGateways/start/action","2","No","Yes","appgw","Application Gateway start failed","Administrative"
"microsoft.network/applicationgateways","Microsoft.Network/applicationGateways/stop/action","2","No","Yes","appgw","Application Gateway stop failed","Administrative"
"microsoft.network/applicationgateways","Microsoft.Network/applicationGateways/write","1","Yes","Yes","appgw","Application Gateway created or updated","Administrative"
"microsoft.network/dnszones","microsoft.network/dnszones/delete","1","Yes","Yes","dnszones","Resource deleted","Administrative"
"microsoft.network/dnszones","microsoft.network/dnszones/write","2","No","Yes","dnszones","Resource created or updated","Administrative"
"microsoft.network/loadbalancers","Microsoft.Network/loadBalancers/delete","0","Yes","Yes","lb","Load balancer deleted","Administrative"
"microsoft.network/loadbalancers","Microsoft.Network/loadBalancers/write","1","Yes","Yes","lb","Load balancer created or updated","Administrative"
"microsoft.network/networksecuritygroups","Microsoft.Network/networkSecurityGroups/delete","0","Yes","Yes","nsg","NSG deleted","Administrative"
"microsoft.network/networksecuritygroups","Microsoft.Network/networkSecurityGroups/securityRules/delete","1","Yes","Yes","nsg","NSG rule deleted","Administrative"
"microsoft.network/networksecuritygroups","Microsoft.Network/networkSecurityGroups/securityRules/write","1","Yes","Yes","nsg","NSG rule created or updated","Administrative"
"microsoft.network/networksecuritygroups","Microsoft.Network/networkSecurityGroups/write","1","Yes","Yes","nsg","NSG created or updated","Administrative"
"microsoft.network/publicipaddresses","Microsoft.Network/publicIPAddresses/delete","0","Yes","Yes","pip","Public IP deleted","Administrative"
"microsoft.network/publicipaddresses","Microsoft.Network/publicIPAddresses/write","1","Yes","Yes","pip","Public IP created or updated","Administrative"
"microsoft.network/trafficmanagerprofiles","microsoft.network/trafficmanagerprofiles/delete","1","Yes","Yes","trafficmanagerprofiles","Resource deleted","Administrative"
"microsoft.network/trafficmanagerprofiles","microsoft.network/trafficmanagerprofiles/write","2","No","Yes","trafficmanagerprofiles","Resource created or updated","Administrative"
"microsoft.network/virtualnetworks","Microsoft.Network/virtualNetworks/delete","0","Yes","Yes","vnet","Virtual network deleted","Administrative"
"microsoft.network/virtualnetworks","Microsoft.Network/virtualNetworks/write","1","Yes","Yes","vnet","Virtual network created or updated","Administrative"
"microsoft.operationalinsights/workspaces","Microsoft.OperationalInsights/workspaces/delete","0","Yes","Yes","law","Log Analytics Workspace deleted","Administrative"
"microsoft.operationalinsights/workspaces","Microsoft.OperationalInsights/workspaces/write","1","Yes","Yes","law","Log Analytics Workspace created or updated","Administrative"
"microsoft.recoveryservices/vaults","Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/backup/action","1","No","Yes","rsv","Backup operation failed","Administrative"
"microsoft.recoveryservices/vaults","Microsoft.RecoveryServices/Vaults/backupFabrics/protectionContainers/protectedItems/restore/action","0","No","Yes","rsv","Restore operation failed","Administrative"
"microsoft.recoveryservices/vaults","Microsoft.RecoveryServices/vaults/delete","0","Yes","Yes","rsv","Recovery Services Vault deleted","Administrative"
"microsoft.recoveryservices/vaults","Microsoft.RecoveryServices/vaults/write","1","Yes","Yes","rsv","Recovery Services Vault created or updated","Administrative"
"microsoft.resources/resourcegroups","Microsoft.Resources/subscriptions/resourceGroups/delete","0","Yes","Yes","rg","Resource Group deleted","Administrative"
"microsoft.resources/resourcegroups","Microsoft.Resources/subscriptions/resourceGroups/write","1","Yes","Yes","rg","Resource Group created or updated","Administrative"
"microsoft.saas/resources","microsoft.saas/resources/delete","1","Yes","Yes","resources","Resource deleted","Administrative"
"microsoft.saas/resources","microsoft.saas/resources/write","2","No","Yes","resources","Resource created or updated","Administrative"
"microsoft.servicebus/namespaces","Microsoft.ServiceBus/namespaces/delete","0","Yes","Yes","servicebus","Service Bus namespace deleted","Administrative"
"microsoft.servicebus/namespaces","Microsoft.ServiceBus/namespaces/queues/delete","1","Yes","Yes","servicebus","Service Bus queue deleted","Administrative"
"microsoft.servicebus/namespaces","Microsoft.ServiceBus/namespaces/queues/write","1","Yes","Yes","servicebus","Service Bus queue created or updated","Administrative"
"microsoft.servicebus/namespaces","Microsoft.ServiceBus/namespaces/write","1","Yes","Yes","servicebus","Service Bus namespace created or updated","Administrative"
"microsoft.sql/servers","Microsoft.Sql/servers/delete","0","Yes","Yes","sql","SQL server deleted","Administrative"
"microsoft.sql/servers","Microsoft.Sql/servers/write","1","Yes","Yes","sql","SQL server created or updated","Administrative"
"microsoft.sql/servers/databases","Microsoft.Sql/servers/databases/delete","0","Yes","Yes","sqldb","SQL database deleted","Administrative"
"microsoft.sql/servers/databases","Microsoft.Sql/servers/databases/pause/action","2","No","Yes","sqldb","SQL database pause failed","Administrative"
"microsoft.sql/servers/databases","Microsoft.Sql/servers/databases/resume/action","2","No","Yes","sqldb","SQL database resume failed","Administrative"
"microsoft.sql/servers/databases","Microsoft.Sql/servers/databases/write","1","Yes","Yes","sqldb","SQL database created or updated","Administrative"
"microsoft.sql/servers/firewallrules","Microsoft.Sql/servers/firewallRules/delete","1","Yes","Yes","sql","SQL firewall rule deleted","Administrative"
"microsoft.sql/servers/firewallrules","Microsoft.Sql/servers/firewallRules/write","1","Yes","Yes","sql","SQL firewall rule created or updated","Administrative"
"microsoft.storage/storageaccounts","Microsoft.Storage/storageAccounts/delete","0","Yes","Yes","storage","Storage account deleted","Administrative"
"microsoft.storage/storageaccounts","Microsoft.Storage/storageAccounts/listKeys/action","2","Yes","No","storage","Storage account keys listed","Administrative"
"microsoft.storage/storageaccounts","Microsoft.Storage/storageAccounts/regeneratekey/action","1","Yes","Yes","storage","Storage account key regenerated","Administrative"
"microsoft.storage/storageaccounts","Microsoft.Storage/storageAccounts/write","1","Yes","Yes","storage","Storage account created or updated","Administrative"
"microsoft.web/connections","microsoft.web/connections/delete","1","Yes","Yes","connections","Resource deleted","Administrative"
"microsoft.web/connections","microsoft.web/connections/write","2","No","Yes","connections","Resource created or updated","Administrative"
"microsoft.web/serverfarms","microsoft.web/serverfarms/delete","1","Yes","Yes","serverfarms","Resource deleted","Administrative"
"microsoft.web/serverfarms","microsoft.web/serverfarms/write","2","No","Yes","serverfarms","Resource created or updated","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/config/write","1","Yes","Yes","webapp","Web app configuration updated","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/delete","0","Yes","Yes","webapp","Web app deleted","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/restart/action","2","No","Yes","webapp","Web app restart failed","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/start/action","2","No","Yes","webapp","Web app start failed","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/stop/action","2","No","Yes","webapp","Web app stop failed","Administrative"
"microsoft.web/sites","Microsoft.Web/sites/write","1","Yes","Yes","webapp","Web app created or updated","Administrative"
"microsoft.web/sites/slots","microsoft.web/sites/slots/delete","1","Yes","Yes","slots","Resource deleted","Administrative"
"microsoft.web/sites/slots","microsoft.web/sites/slots/write","2","No","Yes","slots","Resource created or updated","Administrative"
